"Property: Property Name","# of Dock Doors","# of Grade Level Doors","# of Parking Spaces","Available SF","Ceiling Height (ft)","City","Land Size (Acres)","Lease Price (PSF)","Net Operating Income","Lead Broker","Year Built","Warehouse Space (SF)","Price (PSF)","Price (per Unit)","Price (total)","Sprinkler Type","Unit Amenities","# of Bathrooms","# of Bedrooms","# of Buildings","# of Elevators","# Of Units","# of Floors","Access Frontage","Building Status","Sales (per SF)","Building Type","Lease Structure","Truck Court Depth (ft)","Traffic (per Day)","In-Place Rent (psf)","Building Size (SF)","Dock Height (ft)","Listing Status"
"48th St & Elm Springs Rd","","","","","","Springdale","1.58","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"N 54th St","","","","","","Springdale","9.81","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"Pleasant Grove Rd & Champion Dr","","","","","","Rogers","9.03","","","Clinton","","","","","3490000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"E Huntsville Rd & Crossover Rd","","","","","","Fayetteville","2.53","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"114 E Crandall Ave","","","","","","Harrison","0.85","","","Cameron","","","","","","","","","","","","","","","","","","","","","","11997","","For Sale"
"7322 W Sunset Ave","","","","","","Springdale","0.00","","","Cameron","","","371.55","","4375000.00","","","","","","","","","","","","","","","","","11775","","For Sale"
"1772-1810 W Sunset Ave - Emily Plaza","","","","","","Springdale","0.00","","303467.00","Cameron","","","","","","","","","","6","","","","","","","","NNN","","","","28800","","For Sale"
"2201 S Thompson St","","","","","","Springdale","0.00","","","Cameron","","","33.77","","1800000.00","","","","","","","","","","","","","","","","","12062","","For Sale"
"1880 S Pleasant St","","","","","","Springdale","0.00","85.24","","Cameron","","","1175000.00","","","","","","","","","","","","","","","","","","","13784","","For Sale"
"1810 W Sunset Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","7200","","For Sale"
"1039 S Gutensohn Rd","","","","","","Springdale","0.00","","","Cameron","","","65.53","","850000.00","","","","","","","","","","","","","","","","","12971","","For Sale"
"5204 S Thompson St","","","","","","Springdale","0.00","","","Cameron","","","106.96","","891000.00","","","","","","","","","","","","","","","","","8330","","For Sale"
"501 Holcomb St","","","","","","Springdale","0.00","","","Cameron","","","8.26","","230000.00","","","","","","","","","","","","","","","","","18248","","For Sale"
"513 Holcomb St","","","","","","Springdale","0.00","8.26","","Cameron","","","230000.00","","","","","","","","","","","","","","","","","","","9600","","For Sale"
"1300 N Thompson St","","","","","","Springdale","7.60","","","Tyler","","","37.05","","2650000.00","","","","","","","","","","","","","","","","","71526","","For Sale"
"1486 W Sunset Ave","","","","","","Springdale","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","15516","","For Sale"
"806 W Sunset Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","38030","","For Sale"
"1724 W Broadway Place","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"2853 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","38904","","For Sale"
"240 E Joyce Blvd","","","","","","Fayetteville","0.64","","","Tyler","2012","","188.22","","1643000.00","","","","","1","","","","","","","","","","","","7500","","For Sale"
"2552 W Martin Luther King Jr Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","1.56","","","","","","","","","","","","","","","","","","","44641","","For Sale"
"3761 N Mall Ave","","","","","","Fayetteville","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","21700","","For Sale"
"1680 N College Ave","","","","","","Fayetteville","0.00","","","Tyler","","","","","","","","","","","","","","","","","","","","","","11324","","For Sale"
"2143 W Martin Luther King Jr Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","17175","","For Sale"
"1202 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","14257","","For Sale"
"955 N Shiloh Dr","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","16296","","For Sale"
"2123 W Martin Luther King Jr Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","1.43","","","","","","","","","","","","","","","","","","","23668","","For Sale"
"3322 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","21.83","","1360000.00","","","","","","","","","","","","","","","","","62293","","For Sale"
"413 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","4191","","For Sale"
"1404 N College Ave","","","","","","Fayetteville","0.00","","","Clinton","","","68.24","","7200000.00","","","","","","","","","","","","","","","","","35630","","For Sale"
"2217 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","92.19","","3425000.00","","","","","","","","","","","","","","","","","37150","","For Sale"
"142 Robert Smalls Pkwy","","","","","","Beaufort","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"1909 E Central Ave","","","","","","Bentonville","0.00","","","Corey","","","543.87","","3750000.00","","","","","","","","","","","","","","","","","6895","","For Sale"
"2000 S 42nd St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","16054","","For Sale"
"5433 W Walsh","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7172","","For Sale"
"3000 Medical Center","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","220172","","For Sale"
"1200 SE 28th St","","","","","","Bentonville","0.00","","","Corey","","","31.57","","371000.00","","","","","","","","","","","","","","","","","11752","","For Sale"
"2701 SE J","","","","","","Bentonville","0.00","","","Corey","","","167.42","","4100000.00","","","","","","","","","","","","","","","","","24489","","For Sale"
"1204 SE 28th","","","","","","Bentonville","0.00","","","Corey","","","263.80","","1300000.00","","","","","","","","","","","","","","","","","4928","","For Sale"
"5501 W Pinnacle Point","","","","","","Rogers","0.00","","","Corey","","","132.82","","1231000.00","","","","","","","","","","","","","","","","","9269","","For Sale"
"N 36th St & N 37th St","","","","","","Rogers","0.00","","","Corey","","","","","149000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"2616 S Walton Blvd","","","","","","Bentonville","0.00","","","Corey","","","136.21","","3950000.00","","","","","","","","","","","","","","","","","29000","","For Sale"
"801 SW Regional Airport Blvd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10855","","For Sale"
"1500 SE 28th St","","","","","","Bentonville","0.00","","","Corey","","","189.38","","5800000.00","","","","","","","","","","","","","","","","","30626","","For Sale"
"2902 Mid Cities Dr","","","","","","Bentonville","0.00","","","Corey","","","632.96","","7750000.00","","","","","","","","","","","","","","","","","12244","","For Sale"
"5501 Willow Creek Dr","","","","","","Springdale","0.00","","","Corey","","","324.60","","12386690.00","","","","","","","","","","","","","","","","","38160","","For Sale"
"2601 Gene George Blvd","","","","","","Springdale","0.00","","","Corey","","","355.29","","83000000.00","","","","","","","","","","","","","","","","","233613","","For Sale"
"3702 SW H St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","9500","","For Sale"
"3701 SW H St","","","","","","Bentonville","1.70","","","Corey; Michael","","","","","","","","","","1","","","","","","","","","","","","14038","","For Sale"
"2508 SE 20th St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10856","","For Sale"
"3901 Parkway Cir","","","","","","Springdale","0.00","","","Corey","","","227.27","","30000000.00","","","","","","","","","","","","","","","","","132000","","For Sale"
"5288 W Don Tyson Pkwy","","","","","","Springdale","0.00","","","Corey","","","194.41","","15237000.00","","","","","","","","","","","","","","","","","78374","","For Sale"
"613 N 2nd St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7346","","For Sale"
"808 S 52nd St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","56482","","For Sale"
"1225 E Centerton Blvd","","","","","","Centerton","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7346","","For Sale"
"200 Carr St","","","","","","Pea Ridge","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7114","","For Sale"
"1 Mercy Way","","","","","","Bella Vista","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","33250","","For Sale"
"2012 S 13th","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","30000","","For Sale"
"301 S 24th St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","32036","","For Sale"
"1202 SE 30th St","","","","","","Bentonville","0.00","","","Corey","","","180.37","","7046000.00","","","","","","","","","","","","","","","","","39065","","For Sale"
"2710 S Rife","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","540000","","For Sale"
"4600 Mercy Ln","","","","","","Springdale","0.00","","","Corey","","","746.03","","47000000.00","","","","","","","","","","","","","","","","","63000","","For Sale"
"27 E Appleby Rd","","","","","","Fayetteville","0.00","","","Corey","","","91.55","","3700000.00","","","","","","","","","","","","","","","","","40417","","For Sale"
"1101 S Horsebarn Rd","","","","","","Rogers","0.00","","","Corey","","","242.44","","3200000.00","","","","","","","","","","","","","","","","","13199","","For Sale"
"3101 SE 14th St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","74123","","For Sale"
"1000 S Waldron Rd","","","","","","Forth Smith","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","13588","","For Sale"
"4344 SW I St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","13800","","For Sale"
"1200 SE Eagle Way","","","","","","Bentonville","0.00","","","Corey","","","176.84","","3170000.00","","","","","","","","","","","","","","","","","17926","","For Sale"
"4253 N Crossover Blvd","","","","","","Fayetteville","0.00","","","Corey","","","578.53","","","","","","","","","","","","","","","","","","","106399","","For Sale"
"3420 S 74th St","","","","","","Forth smith","0.00","","","Corey","","","197.12","","615000.00","","","","","","","","","","","","","","","","","3120","","For Sale"
"1303 NE Legacy Pkwy","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","34437","","For Sale"
"2901 S 74th St","","","","","","Forth smith","0.00","","","Corey","","","227.27","","3350000.00","","","","","","","","","","","","","","","","","14740","","For Sale"
"1513 S Dixieland Rd","","","","","","Rogers","0.00","","","Corey","","","92.86","","3061000.00","","","","","","","","","","","","","","","","","32962","","For Sale"
"1393 E Don Tyson Pkwy","","","","","","Springdale","0.00","","","Corey","","","185.24","","7149000.00","","","","","","","","","","","","","","","","","38594","","For Sale"
"2000 S Hampton Pl","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","34996","","For Sale"
"811 W Elgin St","","","","","","siloam springs","0.00","","","Corey","","","56.15","","2700000.00","","","","","","","","","","","","","","","","","48087","","For Sale"
"5303 S Southern Hills Ct","","","","","","Rogers","0.00","","","Corey","","","388.12","","4000000.00","","","","","","","","","","","","","","","","","10306","","For Sale"
"901 NE Greenwood Way","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","30000","","For Sale"
"3 Highlands Crossing Dr","","","","","","bella vista","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","22979","","For Sale"
"670 Rogers Rd","","","","","","bella vista","0.00","","","Corey","","","172.45","","6655738.00","","","","","","","","","","","","","","","","","38595","","For Sale"
"1304 Johnson Rd","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10629","","For Sale"
"325 E Longview St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","37312","","For Sale"
"1695 E Rainforest Dr","","","","","","Fayetteville","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","28133","","For Sale"
"488 E Longview St","","","","","","Fayetteville","0.00","","","Corey","","","200.00","","3000000.00","","","","","","","","","","","","","","","","","15000","","For Sale"
"1102 NW Lowes Ave","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14258","","For Sale"
"199 E Main St","","","","","","Farmington","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","6172","","For Sale"
"2900 SE Moberly","","","","","","Bentonville","0.00","","","Corey","","","80.08","","901515.00","","","","","","","","","","","","","","","","","11257","","For Sale"
"60 Monte Painter Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","8834","","For Sale"
"1149 W New Hope Rd","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","45450","","For Sale"
"3264 N Northills Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4171","","For Sale"
"3100 Old Missouri Rd.","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","39981","","For Sale"
"4313 S Pleasant Crossing","","","","","","Rogers","0.00","","","Corey","","","477.47","","19000000.00","","","","","","","","","","","","","","","","","39793","","For Sale"
"5125 W Pleasant Grove","","","","","","Rogers","0.00","","","Corey","","","285.23","","8150000.00","","","","","","","","","","","","","","","","","28573","","For Sale"
"7 Professional Dr","","","","","","bella vista","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","30544","","For Sale"
"603 N Progress Ave","","","","","","Siloam Springs","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","18257","","For Sale"
"3300 W Sunset Ave","","","","","","Springdale","0.00","","","Corey","","","267.88","","1071500.00","","","","","","","","","","","","","","","","","4000","","For Sale"
"2805 E Zion Rd","","","","","","Fayetteville, AR","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","32370","","For Sale"
"802 SW End St","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","28250","","For Sale"
"190 Wade Ln","","","","","","Pea Ridge","0.00","","","Corey","","","107.26","","2240000.00","","","","","","","","","","","","","","","","","20883","","For Sale"
"1955 W Truckers Dr","","","","","","Fayetteville","0.00","","","Corey","","","44.55","","1826000.00","","","","","","","","","","","","","","","","","40988","","For Sale"
"1967 W Truckers Dr","","","","","","Fayetteville","0.00","","","Corey","","","92.37","","3712500.00","","","","","","","","","","","","","","","","","40191","","For Sale"
"1401 N Walton Blvd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7400","","For Sale"
"2003-2005 SE Walton Blvd","","","","","","Bentonville","0.00","","","Corey; Michael","","","130.67","","2400000.00","","","","","","","","","","","","","","","","","18367","","For Sale"
"1651 E Stearns St","","","","","","Fayetteville","0.00","","","Corey","","","","","562082.00","","","","","","","","","","","","","","","","","15275","","For Sale"
"1255 S Shiloh Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10268","","For Sale"
"3561 Johnson Mill Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","16300","","For Sale"
"3730 S Pinnacle Hills Pkwy","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14482","","For Sale"
"1673 N College Ave","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3316","","For Sale"
"7853 Har Ber Ave","","","","","","Springdale","0.00","","","Corey","","","27.40","","175000.00","","","","","","","","","","","","","","","","","6387","","For Sale"
"3689 N Steele Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","6242","","For Sale"
"3399 Black Forest Dr","","","","","","Fayetteville","0.00","","","Corey","","","325.39","","4450000.00","","","","","","","","","","","","","","","","","13676","","For Sale"
"1438 E Augustine Ln","","","","","","Fayetteville","0.00","","","Corey","","","337.08","","3000000.00","","","","","","","","","","","","","","","","","8900","","For Sale"
"5 E Appleby Rd","","","","","","Fayetteville","0.00","","","Corey","","","649.64","","4300000.00","","","","","","","","","","","","","","","","","6619","","For Sale"
"4224 W Sunset Ave","","","","","","Springdale","0.00","","","Corey","","","529.10","","3200000.00","","","","","","","","","","","","","","","","","6048","","For Sale"
"201 W Van Asche Loop","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","9171","","For Sale"
"4077 Elm Springs Rd","","","","","","Springdale","0.00","","","Corey","","","365.81","","11395000.00","","","","","","","","","","","","","","","","","31150","","For Sale"
"3500 Black Forest Dr","","","","","","Fayetteville","0.00","","","Corey","","","479.55","","3025000.00","","","","","","","","","","","","","","","","","6308","","For Sale"
"361 E Millsap Rd","","","","","","Fayetteville","0.00","","","Corey","","","114.66","","1300000.00","","","","","","","","","","","","","","","","","11338","","For Sale"
"513 N Shiloh St","","","","","","Springdale","0.00","","","Corey","","","20.91","","150000.00","","","","","","","","","","","","","","","","","7172","","For Sale"
"2158 Butterfield Coach Rd","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","15700","","For Sale"
"163 W Van Asche Loop","","","","","","Fayetteville","0.00","","","Corey","","","84.86","","506000.00","","","","","","","","","","","","","","","","","5984","","For Sale"
"1603 SW Regional Airport Blvd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4902","","For Sale"
"1001 S Horsebarn Rd","","","","","","Rogers","0.00","","","Corey","","","53.13","","496000.00","","","","","","","","","","","","","","","","","9336","","For Sale"
"1585 E Rainforest Rd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4118","","For Sale"
"3057 Springdale Ave","","","","","","Springdale","0.00","","","Corey","","","328.08","","3350000.00","","","","","","","","","","","","","","","","","10211","","For Sale"
"101 N 37th St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7010","","For Sale"
"1601 Greenhouse Rd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4800","","For Sale"
"245 W Van Asche Loop","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3852","","For Sale"
"5230 Willow Creek Dr","","","","","","Springdale","0.00","","","Corey","","","197.63","","2600000.00","","","","","","","","","","","","","","","","","13156","","For Sale"
"1607 E Rainforest Rd","","","","","","Fayetteville","0.00","","","Corey","","","40.20","","589000.00","","","","","","","","","","","","","","","","","14652","","For Sale"
"1444 E Stearns St","","","","","","Fayetteville","0.00","","","Corey","","","43.66","","935000.00","","","","","","","","","","","","","","","","","21416","","For Sale"
"3383 N Mana Ct","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","6952","","For Sale"
"3903 W Financial Pkwy","","","","","","Rogers","0.00","","","Corey","","","568.34","","2025000.00","","","","","","","","","","","","","","","","","3563","","For Sale"
"7233 Brooklyn Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4028","","For Sale"
"903 SE 22Nd St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2520","","For Sale"
"3017 N Bob Younkin Dr","","","","","","Fayetteville","0.00","","","Corey","","","67.01","","1277000.00","","","","","","","","","","","","","","","","","19058","","For Sale"
"1008 1st Ave SE","","","","","","Gravette","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3234","","For Sale"
"1944 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","26432","","For Sale"
"604 S 52Nd St","","","","","","rogers","0.00","","","Corey","","","8.25","","38349.00","","","","","","","","","","","","","","","","","4648","","For Sale"
"813 Founders Park Dr E","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","40318","","For Sale"
"700 S 52Nd St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4146","","For Sale"
"802 N Dixieland Rd","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2854","","For Sale"
"1003 S Horsebarn Rd","","","","","","Rogers","0.00","","","Corey","","","88.09","","624000.00","","","","","","","","","","","","","","","","","7084","","For Sale"
"2538 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Corey","","","15.09","","630000.00","","","","","","","","","","","","","","","","","38821","","For Sale"
"701 S Horsebarn Rd","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10568","","For Sale"
"331 Commercial St","","","","","","Centerton","0.00","","","Corey","","","23.15","","60000.00","","","","","","","","","","","","","","","","","2592","","For Sale"
"4003 W Financial Pkwy","","","","","","Rogers","0.00","","","Corey","","","247.25","","1372500.00","","","","","","","","","","","","","","","","","5551","","For Sale"
"519 Latham Dr","","","","","","Lowell","0.00","","","Corey","","","131.25","","5250000.00","","","","","","","","","","","","","","","","","40000","","For Sale"
"1104 SE 30th St","","","","","","Bentonville","0.00","","","Corey","","","364.15","","3166273.00","","","","","","","","","","","","","","","","","8695","","For Sale"
"809 SE 28Th St","","","","","","Bentonville","0.00","","","Corey","","","3.38","","35000.00","","","","","","","","","","","","","","","","","10360","","For Sale"
"599 S 52Nd St","","","","","","Rogers","0.00","","","Corey","","","5.22","","135014.00","","","","","","","","","","","","","","","","","25852","","For Sale"
"591 S Horsebarn Rd","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","9874","","For Sale"
"1109 S West End St","","","","","","Springdale","0.00","","","Corey","","","27.31","","174000.00","","","","","","","","","","","","","","","","","6372","","For Sale"
"5518 W Walsh Ln","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","5487","","For Sale"
"3318 N North hills Blvd","","","","","","Fayetteville","0.00","","","Corey","","","243.15","","2900000.00","","","","","","","","","","","","","","","","","11927","","For Sale"
"1000 SE 13th Ct","","","","","","Bentonville","0.00","","","Corey","","","2.85","","29975.00","","","","","","","","","","","","","","","","","10506","","For Sale"
"101 Dawn Dr","","","","","","Centerton","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3370","","For Sale"
"4102 N Mall Ave","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10982","","For Sale"
"161 N Maestri Rd","","","","","","Tontitown","0.00","","","Corey","","","20.71","","130000.00","","","","","","","","","","","","","","","","","6276","","For Sale"
"901 SE 22Nd St","","","","","","Bentonville","0.00","","","Corey","","","14.37","","71000.00","","","","","","","","","","","","","","","","","4942","","For Sale"
"200 N 24Th St","","","","","","Rogers","0.00","","","Corey","","","113.86","","400000.00","","","","","","","","","","","","","","","","","3513","","For Sale"
"5201 Willow Creek Dr","","","","","","Springdale","0.00","","","Corey","","","13.27","","127822.00","","","","","","","","","","","","","","","","","9634","","For Sale"
"741 E Van Asche Dr","","","","","","Fayetteville","0.00","","","Corey","","","123.05","","1075000.00","","","","","","","","","","","","","","","","","8736","","For Sale"
"158 E Sunbridge Dr","","","","","","Fayetteville","0.00","","","Corey","","","124.34","","1450000.00","","","","","","","","","","","","","","","","","11662","","For Sale"
"615 E Appleby Rd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3833","","For Sale"
"5330 Willow Creek Dr","","","","","","Springdale","0.00","","","Corey","","","249.37","","2919724.00","","","","","","","","","","","","","","","","","12147","","For Sale"
"174 E Sunbridge Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","11298","","For Sale"
"2801 Main Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2616","","For Sale"
"2070 Mckenzie Rd","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","16191","","For Sale"
"2690 Bella Vista Way","","","","","","bella vista","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3304","","For Sale"
"116 W Monroe Ave","","","","","","Lowell","0.00","","","Corey","","","215.27","","750000.00","","","","","","","","","","","","","","","","","3484","","For Sale"
"378 E Longview St","","","","","","Fayetteville","0.00","","","Corey","","","375.77","","8125000.00","","","","","","","","","","","","","","","","","21622","","For Sale"
"2744 E Millennium Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3136","","For Sale"
"301 SW 16Th St","","","","","","Bentonville","0.00","","","Corey","","","115.70","","420000.00","","","","","","","","","","","","","","","","","3630","","For Sale"
"1000 SW End St","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3508","","For Sale"
"805 N 20Th Pl","","","","","","Rogers","0.00","","","Corey","","","143.50","","607000.00","","","","","","","","","","","","","","","","","4230","","For Sale"
"5401 Willow Creek Dr","","","","","","Springdale","0.00","","","Corey","","","176.18","","1250000.00","","","","","","","","","","","","","","","","","7095","","For Sale"
"418 W Maple Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2780","","For Sale"
"2827 E Millennium Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3300","","For Sale"
"3875 W Sunset Ave","","","","","","Springdale","0.00","","","Corey","","","20.68","","300000.00","","","","","","","","","","","","","","","","","8474","","For Sale"
"806 N 20Th Pl","","","","","","Rogers","0.00","","","Corey","","","80.29","","365000.00","","","","","","","","","","","","","","","","","4546","","For Sale"
"1670 W Sunset Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","8301","","For Sale"
"101 Sun Meadow Dr","","","","","","Centerton","0.00","","","Corey","","","82.71","","386000.00","","","","","","","","","","","","","","","","","4667","","For Sale"
"2793 E Millennium Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3300","","For Sale"
"3109 N Walton Blvd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4207","","For Sale"
"2060 Orchard St","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3223","","For Sale"
"300 S 20Th St","","","","","","Rogers","0.00","","","Corey","","","144.29","","375000.00","","","","","","","","","","","","","","","","","2599","","For Sale"
"2828 E Millennium Dr","","","","","","Fayetteville","0.00","","","Corey","","","119.51","","343000.00","","","","","","","","","","","","","","","","","1645","","For Sale"
"4301 Johnson Rd","","","","","","Springdale","0.00","","","Corey","","","94.43","","10100000.00","","","","","","","","","","","","","","","","","106961","","For Sale"
"3232 N Northhills Blvd","","","","","","Fayetteville","0.00","","","Corey","","","3.94","","142000.00","","","","","","","","","","","","","","","","","36010","","For Sale"
"152 E Appleby Rd","","","","","","Fayetteville","0.00","","","Corey","","","150.51","","475000.00","","","","","","","","","","","","","","","","","3156","","For Sale"
"3380 N Futrall Dr","","","","","","Fayetteville","0.00","","","Corey","","","3.86","","76000.00","","","","","","","","","","","","","","","","","19714","","For Sale"
"2692 Bella Vista Way","","","","","","bella vista","0.00","","","Corey","","","30.35","","95000.00","","","","","","","","","","","","","","","","","3130","","For Sale"
"1308 S Pleasant St","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2268","","For Sale"
"201 N 34Th St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4620","","For Sale"
"1607 S Old Missouri Rd","","","","","","Springdale","0.00","","","Corey","","","99.61","","465000.00","","","","","","","","","","","","","","","","","4668","","For Sale"
"55 W Sunbridge Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","12816","","For Sale"
"350 E Millsap Rd","","","","","","Fayetteville","0.00","","","Corey","","","126.63","","1300000.00","","","","","","","","","","","","","","","","","10266","","For Sale"
"775 E Douglas St","","","","","","Prairie Grove","0.00","","","Corey","","","72.93","","368000.00","","","","","","","","","","","","","","","","","5046","","For Sale"
"601 W Maple Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","153718","","For Sale"
